Freq [GHz],RCSTotal [] - IWavePhi='0deg' IWaveTheta='0deg' Phi='0deg' Theta='0deg'
5.15,0.010428417
5.16,0.01057133
5.17,0.010724053
5.18,0.010885806
5.19,0.011055765
5.2,0.011233066
5.21,0.011416809
5.22,0.011606065
5.23,0.011799873
5.24,0.011997256
5.25,0.012197214
5.26,0.012398738
5.27,0.012600808
5.28,0.012802404
5.29,0.013002503
5.3,0.013200094
5.31,0.013394173
5.32,0.013583755
5.33,0.013767874
5.34,0.013945593
5.35,0.014116
5.36,0.014278222
5.37,0.014431423
5.38,0.014574811
5.39,0.014707637
5.4,0.014829209
5.41,0.014938883
5.42,0.015036076
5.43,0.01512026
5.44,0.015190976
5.45,0.015247825
5.46,0.015290478
5.47,0.015318672
5.48,0.015332217
5.49,0.015330992
5.5,0.015314949
5.51,0.015284112
5.52,0.015238577
5.53,0.015178512
5.54,0.015104159
5.55,0.015015825
5.56,0.014913891
5.57,0.014798803
5.58,0.014671073
5.59,0.014531276
5.6,0.014380048
5.61,0.014218081
5.62,0.014046123
5.63,0.013864972
5.64,0.013675474
5.65,0.013478518
5.66,0.013275033
5.67,0.013065981
5.68,0.012852356
5.69,0.01263518
5.7,0.012415491
5.71,0.012194349
5.72,0.011972822
5.73,0.011751985
5.74,0.011532917
5.75,0.01131669
5.76,0.01110437
5.77,0.010897009
5.78,0.01069564
5.79,0.010501274
5.8,0.010314894
5.81,0.01013745
5.82,0.009969856
5.83,0.009812984
5.84,0.009667661
5.85,0.009534664
5.86,0.009414718
5.87,0.009308492
5.88,0.009216593
5.89,0.009139567
5.9,0.009077894
5.91,0.009031986
5.92,0.009002184
5.93,0.008988759
5.94,0.008991907
5.95,0.009011749
5.96,0.009048332
5.97,0.009101624
5.98,0.00917152
5.99,0.009257837
6,0.009360316
6.01,0.009478624
6.02,0.009612354
6.03,0.009761028
6.04,0.009924096
6.05,0.010100942
6.06,0.010290883
6.07,0.010493175
6.08,0.010707015
6.09,0.010931542
6.1,0.011165847
6.11,0.01140897
6.12,0.011659907
6.13,0.01191762
6.14,0.012181031
6.15,0.012449035
6.16,0.012720506
6.17,0.012994294
6.18,0.01326924
6.19,0.013544175
6.2,0.013817927
6.21,0.014089331
6.22,0.014357225
6.23,0.014620468
6.24,0.014877933
6.25,0.015128524
6.26,0.015371171
6.27,0.015604844
6.28,0.015828551
6.29,0.016041349
6.3,0.016242343
6.31,0.016430695
6.32,0.016605625
6.33,0.016766418
6.34,0.016912423
6.35,0.017043061
6.36,0.017157827
6.37,0.017256288
6.38,0.017338092
6.39,0.017402965
6.4,0.017450713
6.41,0.017481225
6.42,0.017494473
6.43,0.017490509
6.44,0.017469471
6.45,0.017431576
6.46,0.017377119
6.47,0.017306481
6.48,0.017220115
6.49,0.017118548
6.5,0.017002383
6.51,0.016872289
6.52,0.016729001
6.53,0.016573318
6.54,0.016406093
6.55,0.016228233
6.56,0.016040698
6.57,0.015844486
6.58,0.015640635
6.59,0.015430218
6.6,0.015214334
6.61,0.014994103
6.62,0.014770661
6.63,0.014545156
6.64,0.014318738
6.65,0.014092553
6.66,0.013867744
6.67,0.013645434
6.68,0.013426728
6.69,0.013212708
6.7,0.013004419
6.71,0.012802873
6.72,0.012609037
6.73,0.01242383
6.74,0.01224812
6.75,0.012082718
6.76,0.011928371
6.77,0.011785762
6.78,0.011655505
6.79,0.011538142
6.8,0.01143414
6.81,0.011343886
6.82,0.01126769
6.83,0.011205782
6.84,0.011158307
6.85,0.011125329
6.86,0.011106828
6.87,0.011102702
6.88,0.011112766
6.89,0.011136756
6.9,0.011174328
6.91,0.011225061
6.92,0.011288459
6.93,0.011363955
6.94,0.011450914
